id,latitude,longitude
329,51.82268042,-0.823846778
330,51.82001925,-0.806911849
331,51.81773468,-0.813950524
332,51.81432991,-0.784300735
333,51.82268042,-0.823846778
334,51.99990917,-0.988662761
335,51.81773468,-0.813950524
336,51.81072977,-0.805895123
337,51.81668116,-0.80935024
338,51.81709612,-0.809484382
339,51.81720111,-0.813645359
340,51.82625367,-0.835057565
341,51.81709612,-0.809484382
342,51.80200029,-0.822064455
343,51.80200029,-0.822064455
344,51.80200029,-0.822064455
345,51.81720111,-0.813645359
346,51.80613857,-0.785159266
347,52.03900157,0.731950457
348,52.04279355,0.953732934
349,52.03900157,0.731950457
350,52.03929558,0.730130947
351,52.04013163,0.73053191
352,52.03815525,0.732380055
353,52.04019638,0.730842105
354,53.55270197,-1.481923915
355,53.5531809,-1.480438837
356,53.53090996,-1.305543821
357,53.54595822,-1.316722073
358,53.60113129,-1.445759821
359,53.5522428,-1.481748394
360,53.57961434,-1.478030642
361,53.53065791,-1.456621762
362,53.55231904,-1.480675797
363,53.55770145,-1.438507682
364,53.54611975,-1.477174919
365,53.533998,-1.303305624
366,53.5440216,-1.30508785
367,53.5234874,-1.400647469
368,53.5867564,-1.50249018
369,53.54056436,-1.447063897
370,53.56040585,-1.501153693
371,53.5531809,-1.480438837
372,53.52044344,-1.32210982
373,53.55292778,-1.482177758
374,53.59988421,-1.450158287
375,53.52184613,-1.397789751
376,53.50057104,-1.436684555
377,53.55356068,-1.472736078
378,53.50061713,-1.438839747
379,53.5519695,-1.478838636
380,53.5519695,-1.478838636
381,53.5519695,-1.478838636
